Pipe ID,Diameter (inch),Cost ($)
1,40.0,27827.999999999996
2,40.0,375677.99999999994
3,30.0,162675.0
4,30.0,207862.5
5,30.0,262087.5
6,30.0,81337.5
7,20.0,83631.5
8,20.0,83631.5
9,12.0,36584.0
10,30.0,171712.5
11,30.0,216900.0
12,24.0,452655.00000000006
13,30.0,144600.0
14,30.0,90375.0
15,40.0,153053.99999999997
16,40.0,759704.3999999999
17,40.0,486989.99999999994
18,40.0,222623.99999999997
19,40.0,111311.99999999999
20,40.0,612215.9999999999
21,20.0,147585.0
22,12.0,22865.0
23,30.0,478987.5
24,20.0,121019.7
25,12.0,59448.99999999999
26,20.0,83631.5
27,24.0,38799.00000000001
28,24.0,96997.50000000001
29,20.0,147585.0
30,20.0,196780.0
31,20.0,157424.0
32,16.0,10560.0
33,12.0,39327.799999999996
34,16.0,66880.0
